"location","source","expert","n_ms","mean_ms","sd_ms","n_tv","mean_tv","sd_tv","d_diff","t","df","p.value","yi","vi","sitesource_label"
"byui","byui",1,40,2.65,2.05750658160146,41,1.77235772357724,2.0594484488035,0.426354998931559,1.91846244887872,78.9542847178987,0.058667167257351,0.422289799161888,0.0504910381893291,"Brigham Young University - Idaho"
"cnj","cnj",1,76,1.57456140350877,1.69233451225357,59,1.17514124293785,1.96556167301727,0.217781219300067,1.24354509863697,114.611531546257,0.216204646810028,0.21863622731477,0.0302840909825277,"The College of New Jersey"
"illinois","illinois",0,44,0.606060606060606,1.99776713506786,45,-0.785185185185185,1.78398537436189,0.734594955731884,3.46266707152835,85.4364121002455,0.000837947365546792,0.728713071239851,0.0479327687708198,"University of Illinois"
"ithaca","ithaca",0,42,0.0555555555555555,2.66861378777987,39,0.11965811965812,1.85983584053168,-0.0278700361145117,-0.126140321953562,73.4322025756625,0.899965586903612,-0.0274248025671858,0.0494551921653386,"Ithaca College"
"kansas","kansas_inhouse",0,35,1.20952380952381,3.035827152293,40,1.31666666666667,3.02971983510065,-0.0353283234154394,-0.15262555749027,71.6456997651105,0.879122587398913,-0.0349663161751231,0.053579579526541,"University of Kansas"
"occid","occid",1,46,0.518115942028985,2.26465822261794,42,0.329365079365079,1.66279554303522,0.0950095637483693,0.448234823762971,82.3268997348768,0.655161172229185,0.0935290752825911,0.0455983570165974,"Occidental College"
"pace","pace_expert",1,53,1.17610062893082,2.04709902472487,53,1.33333333333333,1.8935337560947,-0.0797402139316889,-0.410487875001924,103.373952739961,0.682297666848018,-0.0791635466283588,0.0377654097505414,"Pace University"
"pace","pace_inhouse",0,24,0.111111111111111,5.32577967499012,34,2.19607843137255,5.93291205351466,-0.369837357288908,-1.40025073502148,52.7388256626473,0.167294081829222,-0.361404650046944,0.0722044082783728,"Pace University"
"plu","plu",0,30,-0.177777777777778,2.1401710343321,30,0.322222222222222,1.78646107354883,-0.25364417113952,-0.982359650685944,56.2049797990488,0.330132604896209,-0.250347705221586,0.0671889497792476,"Pacific Lutheran University"
"riverside","riverside",1,55,0.73030303030303,1.7184818729403,52,0.794871794871795,1.67664184307544,-0.0380332897942807,-0.196700338361238,104.892718536311,0.844442660519306,-0.0377475798718679,0.0374192457293453,"University of California, Riverside"
"ufl","ufl",0,60,0.922222222222222,1.17629868394387,38,0.868421052631579,1.23643261349456,0.0445838848095474,0.213853992621857,75.9301075351491,0.831234140307556,0.0444891896109728,0.0429925545484746,"University of Florida"
"upenn","upenn",0,41,0.195121951219512,2.23479505617169,45,-0.155555555555556,1.7532077383292,0.174597779703071,0.804260330127837,75.7762060516094,0.423762679236047,0.174022569822426,0.0467885350479613,"University of Pennsylvania"
"uwmadison","uwmadison_expert",1,40,0.908333333333333,2.15891116906126,39,0.94017094017094,1.72167434293188,-0.0163054872459047,-0.0725596268372427,74.1096958145051,0.942352029251991,-0.0161227838188421,0.050642670857216,"University of Wisconsin"
"uwmadison","uwmadison_inhouse",0,32,-0.927083333333333,1.77342868003033,36,-0.740740740740741,2.05033657494245,-0.0972109293693628,-0.401823288110018,65.9573614959414,0.689113179479722,-0.0956844992173435,0.0590950978027077,"University of Wisconsin"
"vcu","vcu",1,61,1.30054644808743,1.99137484429522,42,1.32539682539683,1.14879009108593,-0.0152866905319021,-0.0800246941671057,98.3829051679535,0.936380172473553,-0.0145052076016553,0.0402039877967832,"Virginia Commonwealth University"
"wesleyan","wesleyan_inhouse",0,42,-0.222222222222222,1.46257127159006,53,-0.559748427672956,1.81608857528262,0.204706271905839,1.00336505667588,92.9679549875438,0.31828918296952,0.200537821975908,0.042889108432788,"Wesleyan University"
"wpi","wpi",0,71,0.511737089201878,1.60932894021917,70,0.542857142857143,1.95288417827495,-0.0173916174127097,-0.103184506068681,133.387051150084,0.917971509085233,-0.0173094838838437,0.028371283803969,"Worcester Polytechnic Institute"
