"location","source","expert","n_ms","mean_ms","sd_ms","n_tv","mean_tv","sd_tv","outcome","t","df","p.value","yi","vi","sitesource_label"
"byui","byui",1,40,4.65833333333333,1.75977125553149,41,5.15853658536585,1.77793232729303,"anti",-1.27249558070448,78.9828431520749,0.206930439116944,-0.280067650589221,0.0498744284018623,"Brigham Young University - Idaho"
"cnj","cnj",1,76,5.28508771929825,1.71330648259844,59,5.49717514124294,1.65672076203447,"anti",-0.726835556221127,126.732197822056,0.468667137619525,-0.124870279047289,0.0301647975999163,"The College of New Jersey"
"illinois","illinois",0,44,5.31818181818182,1.5232132252186,45,6.32592592592593,1.41330061584645,"anti",-3.23369819109092,86.1820922269551,0.00173288963632974,-0.680233494791145,0.0475490320699206,"University of Illinois"
"ithaca","ithaca",0,42,5.90476190476191,1.77956743059401,39,6.12820512820513,1.70930611518581,"anti",-0.576318266762427,78.9046028366729,0.566040447021276,-0.12674591953718,0.0495497132043724,"Ithaca College"
"kansas","kansas_inhouse",0,35,4.6,2.16900326495805,40,4.89166666666667,1.98051404878529,"anti",-0.604917979810047,69.4703701010124,0.547204380129031,-0.139418736467257,0.0537010124652827,"University of Kansas"
"occid","occid",1,46,5.83695652173913,1.81437644644811,42,6.31349206349206,1.59360271770812,"anti",-1.31147023795028,85.8786600575592,0.193194419270572,-0.275805363079707,0.0459808621892128,"Occidental College"
"pace","pace_expert",1,53,5.78616352201258,1.7844225521275,53,5.34591194968553,2.17597827901166,"anti",1.13894417141568,100.159294161017,0.257443172193891,0.219648046901605,0.0379634210589985,"Pace University"
"pace","pace_inhouse",0,24,2.97222222222222,4.60089958297557,34,1.38235294117647,4.5638990012795,"anti",1.30045085545726,49.4269896250328,0.199477583247437,0.342524502113105,0.0720898368427889,"Pace University"
"plu","plu",0,30,4.87777777777778,1.59376979866499,30,4.58888888888889,1.51539566127699,"anti",0.719489887657942,57.8531435274425,0.474735654004328,0.18335712605819,0.0669468319639693,"Pacific Lutheran University"
"riverside","riverside",1,55,5.70909090909091,1.64561338015109,52,5.96794871794872,1.75176178405659,"anti",-0.786769052311256,103.535634195816,0.433214269603914,-0.15135668270545,0.0375196380920248,"University of California, Riverside"
"ufl","ufl",0,60,2.6,0.907802545377351,38,2.65789473684211,0.76124933706688,"anti",-0.340056938722219,88.5940460126337,0.734618583402951,-0.0672374696549308,0.0430055218409917,"University of Florida"
"upenn","upenn",0,41,5.30894308943089,1.74545480208588,45,5.72592592592593,1.44300627704818,"anti",-1.20082614954776,77.8754424563533,0.233458421385502,-0.259218635016657,0.0470031306638467,"University of Pennsylvania"
"uwmadison","uwmadison_expert",1,40,5.31666666666667,1.68443519831484,39,5.29059829059829,1.8858963885071,"anti",0.0647418184553523,75.5615548694211,0.948550543278884,0.014447592597454,0.0506423467355311,"University of Wisconsin"
"uwmadison","uwmadison_inhouse",0,32,4.59375,1.40336098100622,36,4.56481481481481,1.25184167680033,"anti",0.0892639586895368,62.6160995975153,0.929157039491296,0.0215858591439536,0.0590312038756821,"University of Wisconsin"
"vcu","vcu",1,61,5.49180327868852,1.71335339090837,42,5.61904761904762,1.54704268728045,"anti",-0.392481697055475,93.7849898659895,0.695592915296577,-0.0766425799571992,0.0402314814085062,"Virginia Commonwealth University"
"wesleyan","wesleyan_inhouse",0,42,4.51587301587302,1.2924680303582,53,4.9811320754717,1.34198331084242,"anti",-1.71319033228966,89.4838957479183,0.0901402416453859,-0.349516168289516,0.0433204038741193,"Wesleyan University"
"wpi","wpi",0,71,4.41784037558685,1.36244214656164,70,4.12380952380952,1.36221311426225,"anti",1.28138676047896,138.972297589349,0.202191790663953,0.214662635702652,0.0285336257505451,"Worcester Polytechnic Institute"
