"location","source","expert","n_ms","mean_ms","sd_ms","n_tv","mean_tv","sd_tv","outcome","t","df","p.value","yi","vi","sitesource_label","expert.ctr"
"byui","byui",1,31,4.61290322580645,1.86010110078388,28,5.02380952380952,1.71876252600855,"anti",-0.881851759032809,56.9656999458676,0.38156290595942,-0.225947567334116,0.068404996867569,"Brigham Young University - Idaho",1
"cnj","cnj",1,30,5.07777777777778,1.43487843300288,21,4.96825396825397,1.76038115160945,"anti",0.235549856961925,37.3562113629776,0.81506857864295,0.0684300143468114,0.0809982894510428,"The College of New Jersey",1
"illinois","illinois",0,44,5.31818181818182,1.5232132252186,45,6.32592592592593,1.41330061584645,"anti",-3.23369819109092,86.1820922269551,0.00173288963632974,-0.680233494791145,0.0475490320699206,"University of Illinois",-1
"ithaca","ithaca",0,42,5.90476190476191,1.77956743059401,39,6.12820512820513,1.70930611518581,"anti",-0.576318266762427,78.9046028366729,0.566040447021276,-0.12674591953718,0.0495497132043724,"Ithaca College",-1
"kansas","kansas_inhouse",0,35,4.6,2.16900326495805,40,4.89166666666667,1.98051404878529,"anti",-0.604917979810047,69.4703701010124,0.547204380129031,-0.139418736467257,0.0537010124652827,"University of Kansas",-1
"occid","occid",1,10,5.26666666666667,2.66110531198626,6,6.72222222222222,1.28955921266259,"anti",-1.46636687105453,13.6577592404737,0.16519245713191,-0.606520400578387,0.278162510301597,"Occidental College",1
"pace","pace_expert",1,16,5,1.69967317119759,16,4.33333333333333,2.18072363117282,"anti",0.964485644340825,28.3118540257752,0.342969042394052,0.332388484158141,0.126726282881265,"Pace University",1
"pace","pace_inhouse",0,24,2.97222222222222,4.60089958297557,34,1.38235294117647,4.5638990012795,"anti",1.30045085545726,49.4269896250328,0.199477583247437,0.342524502113105,0.0720898368427889,"Pace University",-1
"plu","plu",0,30,4.87777777777778,1.59376979866499,30,4.58888888888889,1.51539566127699,"anti",0.719489887657942,57.8531435274425,0.474735654004328,0.18335712605819,0.0669468319639693,"Pacific Lutheran University",-1
"riverside","riverside",1,3,4.44444444444444,1.539600717839,3,5.66666666666667,1.20185042515466,"anti",-1.08386220598072,3.77746127826242,0.342704990095238,-0.706103728531761,0.708215206287205,"University of California, Riverside",1
"ufl","ufl",0,60,2.6,0.907802545377351,38,2.65789473684211,0.76124933706688,"anti",-0.340056938722219,88.5940460126337,0.734618583402951,-0.0672374696549308,0.0430055218409917,"University of Florida",-1
"upenn","upenn",0,41,5.30894308943089,1.74545480208588,45,5.72592592592593,1.44300627704818,"anti",-1.20082614954776,77.8754424563533,0.233458421385502,-0.259218635016657,0.0470031306638467,"University of Pennsylvania",-1
"uwmadison","uwmadison_expert",1,21,5.20634920634921,1.84534305897061,19,4.96491228070175,1.56700050360477,"anti",0.447264150596463,37.8617462505458,0.657232723505527,0.137648543006428,0.100487465583813,"University of Wisconsin",1
"uwmadison","uwmadison_inhouse",0,32,4.59375,1.40336098100622,36,4.56481481481481,1.25184167680033,"anti",0.0892639586895368,62.6160995975153,0.929157039491296,0.0215858591439536,0.0590312038756821,"University of Wisconsin",-1
"vcu","vcu",1,14,4.95238095238095,1.82038383694135,7,5.47619047619048,1.65391950694396,"anti",-0.661262691313858,13.2296703868645,0.519794645607368,-0.284152414194845,0.216208157011732,"Virginia Commonwealth University",1
"wesleyan","wesleyan_inhouse",0,42,4.51587301587302,1.2924680303582,53,4.9811320754717,1.34198331084242,"anti",-1.71319033228966,89.4838957479183,0.0901402416453859,-0.349516168289516,0.0433204038741193,"Wesleyan University",-1
"wpi","wpi",0,71,4.41784037558685,1.36244214656164,70,4.12380952380952,1.36221311426225,"anti",1.28138676047896,138.972297589349,0.202191790663953,0.214662635702652,0.0285336257505451,"Worcester Polytechnic Institute",-1
