"location","sitesource","expert","n_tv","mean_tv","sd_tv","n_ms","mean_ms","sd_ms","d_diff","t","df","p.value","yi","vi"
"ashland","ashland",1,28,7.05952380952381,0.785954749158543,28,6.82142857142857,1.24220083085386,-0.229065482340478,-0.857084554054184,45.6316021499331,0.395877188431939,-0.225866731989443,0.0718840694698178
"azusa","azusa",0,15,6.11111111111111,1.21280644412019,15,6.35555555555556,1.13715508754158,0.207933511185709,0.569449372688328,27.8846447580768,0.573610373757654,0.202305190828941,0.134015456503939
"cnj","cnj",1,60,6.7,1.21308000087061,76,6.85964912280702,1.17789914413849,0.133528428129749,0.7718561612999,125.027975988898,0.441656076704271,0.133013282261457,0.0298896074816631
"illinois","illinois",0,45,5.54074074074074,1.36568495577448,44,5.92424242424242,1.43752521400403,0.273526266568228,1.28976827732696,86.5271853317412,0.200567794328239,0.271240206685008,0.0453628165771496
"ithaca","ithaca",0,88,5.65151515151515,1.68375082331586,90,5.7,1.63608649716854,0.0292061612344395,0.194785683521222,175.538056957712,0.845785988273514,0.0290862414384076,0.0224771239057616
"kansas","kansas_expert",1,18,6.88888888888889,1.19912822364084,25,6.36,1.31909059582729,-0.41957417280265,-1.36794101358372,38.7122653065617,0.179219160875592,-0.408542091779741,0.0974963304480645
"kansas","kansas_inhouse",0,40,6.20833333333333,1.72411668618407,35,5.80952380952381,1.93739551990816,-0.217470079223668,-0.935962818137988,68.6913909967909,0.352571273069389,-0.216087745077345,0.0538827213285793
"occid","occid",1,42,6.64285714285714,1.27598807485413,47,6.33687943262411,1.57366973256032,-0.21358478911725,-1.01177713007169,86.2227740667079,0.314475513011171,-0.210490977696989,0.0453350322041588
"pace","pace_expert",1,53,6.67924528301887,1.08596773210578,53,6.9622641509434,1.29703866748483,0.236604636672576,1.21799691441172,100.883278968218,0.22606615175713,0.234893553254838,0.0379961084026447
"plu","plu",0,125,4.80266666666667,1.0735463623499,122,4.80874316939891,1.08493146185704,0.00563028087437251,0.0442373075131783,244.701280475428,0.964751321293147,0.00561338732816817,0.016196785097138
"riverside","riverside",1,52,6.76282051282051,1.24605965170446,55,6.43939393939394,1.23618440746638,-0.260590019565519,-1.34710196623765,104.563858050702,0.180859546112756,-0.258752889014479,0.037725452167603
"sou","sou_inhouse",0,14,5.80952380952381,1.44833701108551,15,6.48888888888889,0.958393717904348,0.553207741861574,1.47873767097294,22.3333100101012,0.153177343792285,0.541608286214569,0.143152816296898
"ufl","ufl",0,110,3.63333333333333,0.789779256634403,145,3.48965517241379,0.679341516249594,-0.195047157898543,-1.52700052908086,214.539851713226,0.128233797147974,-0.196511014303168,0.016063179596895
"upenn","upenn",0,45,5.57037037037037,1.42598932912519,41,5.50406504065041,1.45892264515732,-0.0459639741735448,-0.212782589367726,82.8653015934834,0.832019128227994,-0.0455769305111739,0.0466245431978869
"uwmadison","uwmadison_expert",1,39,6.23076923076923,1.11908966281273,40,6.225,1.12061109702217,-0.00515178593639083,-0.0228934000374501,76.9546006597144,0.981794563685798,-0.00510137033475387,0.0506411903497553
"uwmadison","uwmadison_inhouse",0,36,3.82407407407407,1.50234971751631,34,3.69607843137255,1.33929889457718,-0.0899375511476833,-0.376698208390755,67.7820573080173,0.707574583576943,-0.0887920883116243,0.057245857018994
"vcu","vcu",1,42,6.94444444444444,1.11144981287515,62,6.79569892473118,1.33790859643752,-0.120940908017398,-0.616128955988135,97.7140218442734,0.539242074596479,-0.117947690256124,0.0400054390369958
"wesleyan","wesleyan_inhouse",0,97,4.56013745704467,1.17412929890126,78,4.35470085470085,1.19443121470679,-0.17346321105335,-1.13950903195592,163.818784419283,0.25615433417083,-0.172872734516742,0.0232151768348548
"wpi","wpi",0,72,4.66435185185185,1.28446022579125,72,4.94444444444444,1.16951362896099,0.228026736345583,1.3681604180735,140.769961540659,0.173441727025286,0.226819890439592,0.0279564141065938
"byui","byui",1,41,6.93089430894309,1.11739752808585,40,7.30833333333333,1.03881232863836,0.349862602327683,1.57496960291596,78.8195361525579,0.119269052224031,0.346369263608982,0.050130809746717
"pace","pace_inhouse",0,35,3.54761904761905,3.46258513228474,24,3.08333333333333,3.32498955721,-0.136776497599383,-0.518050471234554,50.8893628413995,0.606668130629243,-0.13444283527171,0.0703912721529757
