"location","source","expert","n_ms","mean_ms","sd_ms","n_tv","mean_tv","sd_tv","outcome","t","df","p.value","yi","vi","sitesource_label","expert.ctr"
"byui","byui",1,31,7.3010752688172,1.02687890558641,28,6.91666666666667,1.20227835837996,"pro",1.31357822386168,53.4270546850106,0.194601271442494,0.340686452425727,0.0689559710682658,"Brigham Young University - Idaho",1
"cnj","cnj",1,30,6.82222222222222,1.01609022034838,21,6.95238095238095,1.13179166852932,"pro",-0.421377114901838,40.1254614793906,0.675728528542233,-0.120351593081893,0.0810943859127471,"The College of New Jersey",1
"illinois","illinois",0,44,5.92424242424242,1.43752521400403,45,5.54074074074074,1.36568495577448,"pro",1.28976827732696,86.5271853317412,0.200567794328239,0.271240206685008,0.0453628165771496,"University of Illinois",-1
"ithaca","ithaca",0,42,5.96031746031746,1.43551994480642,39,6.24786324786325,1.54033099791762,"pro",-0.86737317284906,77.3690248794568,0.388419837827496,-0.191548773313304,0.0496770366885608,"Ithaca College",-1
"kansas","kansas_inhouse",0,35,5.80952380952381,1.93739551990816,40,6.20833333333333,1.72411668618407,"pro",-0.935962818137988,68.6913909967909,0.352571273069389,-0.216087745077345,0.0538827213285793,"University of Kansas",-1
"occid","occid",1,10,7.36666666666667,1.48615005141091,6,7.22222222222222,0.620632890834175,"pro",0.270539937804317,13.0133422252573,0.790988204403253,0.109411694778698,0.26704075788399,"Occidental College",1
"pace","pace_expert",1,16,7.20833333333333,1.21029534197848,16,6.33333333333333,1.03279555898864,"pro",2.19978718130048,29.2758160418692,0.0358646607723544,0.758107630687132,0.133980112182907,"Pace University",1
"pace","pace_inhouse",0,24,3.08333333333333,3.32498955721,34,3.57843137254902,3.50978317510142,"pro",-0.54576042111075,51.2929452210115,0.587596457545609,-0.142189191168516,0.07125272245949,"Pace University",-1
"plu","plu",0,30,4.7,1.24829385478449,30,4.91111111111111,1.00547670146567,"pro",-0.7213914520436,55.482712019745,0.473697811452468,-0.183841726865999,0.0669483148378089,"Pacific Lutheran University",-1
"riverside","riverside",1,3,6.77777777777778,0.509175077217315,3,6.66666666666667,0.333333333333333,"pro",0.316227766016837,3.44827586206897,0.770025638391177,0.2060129077457,0.67020344317982,"University of California, Riverside",1
"ufl","ufl",0,60,3.52222222222222,0.641815535351636,38,3.52631578947368,0.773555338386179,"pro",-0.027222475797879,68.1697128596101,0.978361825481419,-0.00583923306368078,0.042982630102814,"University of Florida",-1
"upenn","upenn",0,41,5.50406504065041,1.45892264515732,45,5.57037037037037,1.42598932912519,"pro",-0.212782589367726,82.8653015934834,0.832019128227994,-0.0455769305111739,0.0466245431978869,"University of Pennsylvania",-1
"uwmadison","uwmadison_expert",1,21,6.65079365079365,0.957288940917065,19,6.14035087719298,1.29727058902782,"pro",1.40381820403203,32.9149243581917,0.169738168843739,0.442287244235066,0.102695851646579,"University of Wisconsin",1
"uwmadison","uwmadison_inhouse",0,32,3.66666666666667,1.35994939817311,36,3.82407407407407,1.50234971751631,"pro",-0.453468023819692,65.9736794388097,0.651699844416835,-0.108271819730902,0.0591139747406296,"University of Wisconsin",-1
"vcu","vcu",1,14,7.14285714285714,1.55092630559044,7,7.09523809523809,1.22798066268835,"pro",0.0765235640561508,14.9873709880689,0.940014766233789,0.0313791805369146,0.214309158404075,"Virginia Commonwealth University",1
"wesleyan","wesleyan_inhouse",0,42,4.29365079365079,1.18756515942157,53,4.42138364779874,1.13067362002773,"pro",-0.531758741628532,86.050463320026,0.596263273671711,-0.109592176078909,0.0427406612065505,"Wesleyan University",-1
"wpi","wpi",0,71,4.92957746478873,1.17096553967397,70,4.66666666666667,1.26134146313933,"pro",1.28225624210462,137.920832841419,0.201903825222185,0.21492245347111,0.0285340215443013,"Worcester Polytechnic Institute",-1
